method,option,option_key,eps,price,reference,abs_error,std_error,rmse_proxy,runtime,cost,L,N_l,n_paths,n_steps,converged,rep,level_means,level_vars,allocation_rounds_by_L
Original Giles MLMC,European Call,european,0.0002,0.10463864419958276,0.10450583572185568,0.00013280847772707827,0.00013959699942569945,0.0001926795630180912,0.029906792100518942,3720839,3.0,"[1601889, 133930, 32465, 10000]",1778284,,True,1,"[0.10201277311182194, 0.0022370203050661995, 0.0003005133701638252, 8.833741253079168e-05]","[0.01609639625379274, 0.00045304188428512267, 0.00010720818849014262, 2.753991527083952e-05]",
Modified MLMC,European Call,european,0.0002,0.10421311899959404,0.10450583572185568,0.0002927167222616378,0.0001405170632943693,0.000324696973451356,0.03303629206493497,3674767,3.0,"[1555682, 132777, 32760, 10000]",1731219,,True,1,"[0.10187778131918446, 0.0020563396844272565, 0.00025314270272500767, 2.5855293257330236e-05]","[0.016073088374426066, 0.00044319309817922, 0.00010820485876018369, 2.7723531016358647e-05]","[8, 8, 8, 8]"
Standard MC,European Call,european,0.0005,0.10463409987572446,0.10450583572185568,0.00012826415386878176,0.0003437412038667259,0.0003668919573981154,6.7624392081052065,752025600,,[183600],183600,4096.0,True,1,,,
Original Giles MLMC,European Call,european,0.0005,0.10458639771379054,0.10450583572185568,8.056199193486047e-05,0.00033393725858220244,0.0003435175791919669,0.004811584018170834,507022,2.0,"[215487, 18307, 10000]",243794,,True,1,"[0.10206208073162264, 0.0021397735759010285, 0.0003845434062668629]","[0.016119703878990987, 0.0004621843081627806, 0.00011461853840935933]",
Modified MLMC,European Call,european,0.0005,0.104154765131959,0.10450583572185568,0.00035107058989668205,0.0003374358089550025,0.0004869429989798819,0.006325833033770323,493079,2.0,"[207374, 17141, 10000]",234515,,True,1,"[0.10193648332839031, 0.002033033285688173, 0.00018524851788051397]","[0.016112278821580197, 0.0004402736432295101, 0.00010480797208192251]","[6, 4, 4]"
Standard MC,European Call,european,0.001,0.10354180964479621,0.10450583572185568,0.0009640260770594627,0.0007106514513833904,0.0011976526051422326,0.4935877500101924,43593728,,[42572],42572,1024.0,True,1,,,
Original Giles MLMC,European Call,european,0.001,0.1032725668571529,0.10450583572185568,0.0012332688647027773,0.0005962160823058667,0.0013698268903206104,0.0032354581635445356,302791,2.0,"[52791, 10000, 10000]",72791,,True,1,"[0.10105775533353642, 0.0018719485359737814, 0.0003428629876427031]","[0.016013492051864163, 0.00041331115801747386, 0.00010804961420371384]",
Modified MLMC,European Call,european,0.001,0.10342708719006102,0.10450583572185568,0.0010787485317946544,0.0006037028096653244,0.0012361858586988162,0.004113459028303623,301022,2.0,"[51022, 10000, 10000]",71022,,True,1,"[0.10150772660847567, 0.001705645714843843, 0.00021371486674150907]","[0.01606293883047955, 0.00039155554358728806, 0.00010477749463570534]","[5, 4, 4]"
Standard MC,Asian Call,asian,5e-05,0.057679265970847104,0.057427662839515906,0.00025160313133119894,3.487979121113022e-05,0.0002540093217395704,3173.774591125082,342900736000,,[5232250],5232250,65536.0,True,1,,,
Original Giles MLMC,Asian Call,asian,5e-05,0.0575950242951895,0.057427662839515906,0.0001673614556735939,3.5323885312724484e-05,0.0001710486296898366,0.5858971669804305,58310186,4.0,"[12586206, 3949688, 592273, 97142, 19871]",17245180,,True,1,"[0.05101402106653026, 0.006053724903065185, 0.0005004548713654932, 3.115144339092854e-05, -4.32798916237001e-06]","[0.00402798273664125, 0.0015859786583799164, 0.00014275098148166133, 1.5345488631858072e-05, 2.5277525036559706e-06]",
Modified MLMC,Asian Call,asian,5e-05,0.05758013269200229,0.057427662839515906,0.0001524698524863824,5.9325834663093434e-05,0.00016360504446896466,0.37340366607531905,35803260,4.0,"[2010000, 1610000, 590087, 96625, 19411]",4326123,,True,1,"[0.05102729138307706, 0.006046092767494035, 0.0004833915472792633, 3.539830602639389e-05, -1.204131187446011e-05]","[0.004030792341018889, 0.001590289326077149, 0.0001423488694240819, 1.5268315078006044e-05, 2.4686539688100583e-06]","[8, 8, 8, 8, 8]"
Standard MC,Asian Call,asian,0.0001,0.057713010824332646,0.057427662839515906,0.00028534798481674034,6.968334059772959e-05,0.0002937332810490392,202.77602133294567,21497184256,,[1312084],1312084,16384.0,True,1,,,
Original Giles MLMC,Asian Call,asian,0.0001,0.05766179744883841,0.057427662839515906,0.00023413460932250607,7.078799034400125e-05,0.0002446016248096994,0.11779062496498227,11608586,3.0,"[2816791, 883923, 131865, 21686]",3854265,,True,1,"[0.05103912964968025, 0.006020130479459689, 0.0005157524670431863, 8.678485265529078e-05]","[0.00402994303068729, 0.0015870395400572111, 0.00014153683166218773, 1.542866239070539e-05]",
Modified MLMC,Asian Call,asian,0.0001,0.057654981357485716,0.057427662839515906,0.00022731851796981006,7.792930386608001e-05,0.0002403053994671004,0.11900662491098046,10391095,3.0,"[1610000, 883807, 132303, 21450]",2647560,,True,1,"[0.051004885145470844, 0.00607304354132747, 0.0004617357480955483, 0.00011531692259185363]","[0.004023867841912204, 0.0015887986909083312, 0.00014236575331321176, 1.501382341850876e-05]","[8, 8, 8, 8]"
Standard MC,Asian Call,asian,0.0002,0.05746180380629157,0.057427662839515906,3.4140966775661474e-05,0.00014065610112655647,0.0001447402652909718,50.62164350016974,5230247936,,[319229],319229,16384.0,True,1,,,
Original Giles MLMC,Asian Call,asian,0.0002,0.057512539225518966,0.057427662839515906,8.487638600306047e-05,0.00013678644853801808,0.00016097991615286793,0.032742375042289495,3290537,3.0,"[708417, 222516, 33477, 10000]",974410,,True,1,"[0.05101625080395818, 0.005924945554093267, 0.0005184308568531196, 5.291201061440806e-05]","[0.0040310452499552904, 0.0015904013755413413, 0.00014373343966273222, 1.5794616107236014e-05]",
Modified MLMC,Asian Call,asian,0.0002,0.057627795342079305,0.057427662839515906,0.00020013250256339932,0.00013965260898950055,0.00024404071336533862,0.027878083055838943,3164886,3.0,"[670896, 212242, 31639, 10000]",924777,,True,1,"[0.051075497787286345, 0.006058307218647631, 0.00045959385983714246, 3.439647630818966e-05]","[0.004024924179975491, 0.0015844294353132445, 0.00014287432197855588, 1.5225564548483868e-05]","[7, 7, 5, 3]"
Standard MC,Asian Call,asian,0.0005,0.05768813157805187,0.057427662839515906,0.00026046873853596136,0.0003488472246421333,0.000435360023308335,2.2229823330417275,215482368,,[52608],52608,4096.0,True,1,,,
Original Giles MLMC,Asian Call,asian,0.0005,0.05757562637457359,0.057427662839515906,0.0001479635350576866,0.00031072492105844405,0.00034415575583381363,0.013399707851931453,1289488,3.0,"[112413, 35415, 10000, 10000]",167828,,True,1,"[0.05081103016942849, 0.006180567608272249, 0.0005239081590436792, 6.0120437829174514e-05]","[0.004008413401530925, 0.0015930701011936197, 0.00014389294196370662, 1.5198458672917375e-05]",
